state,murder,culpable_homicide,dowry_deaths,attempt_murder,kidnapping,rape,assault_women,total_human_body,riots,thefts,extortion,robbery,dacoity,prep_dacoity,criminal_breach,cheating,arson,burglary,total_property,counterfeiting,cruelty_husband,insult_modesty,total_women,convicts_women,other_ipc,total_convicts,year
Rajasthan,2047,77,64,454,131,891,5,3669,0,200,5,196,124,41,0,82,3,37,688,27,37,0,37,997,232,4653,2022
Sikkim,31,10,0,0,1,6,2,50,0,5,0,0,0,0,0,1,0,0,6,0,0,0,0,8,61,117,2022
Tamil Nadu,1889,186,57,380,200,234,14,2960,74,356,28,258,109,39,18,55,28,141,1032,7,60,4,64,369,21,4158,2022
Telangana,1157,75,35,49,68,197,20,1601,0,136,19,47,21,6,0,2,0,68,299,2,40,0,40,292,18,1960,2022
Tripura,221,13,4,14,3,131,8,394,2,1,0,1,1,1,1,0,0,1,6,0,8,0,8,151,11,421,2022
Uttar Pradesh,13779,1336,2091,1292,713,3313,141,22665,13,713,53,526,296,44,18,47,21,101,1819,54,207,1,208,5753,470,25229,2022
Uttarakhand,900,47,72,41,42,397,13,1512,8,106,0,26,27,2,3,11,2,13,190,5,6,3,9,491,138,1862,2022
West Bengal,2464,118,79,154,129,503,6,3453,13,6,0,54,77,8,2,5,0,0,152,64,58,0,58,646,43,3783,2022
Andaman and Nicobar Islands,37,1,0,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,42,2022
Chandigarh,83,1,1,3,3,101,2,194,0,27,0,17,4,1,1,3,0,0,53,0,2,2,4,108,17,268,2022
Dadra and Nagar Haveli and Daman and Diu,2,0,0,0,7,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2022
Delhi,572,20,19,103,38,378,0,1130,2,30,4,73,90,1,10,84,0,0,292,2,0,51,51,448,12,1489,2022
Jammu and Kashmir,86,3,0,1,0,38,2,130,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,40,15,147,2022
Ladakh,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2022
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Puducherry,53,2,0,0,1,2,0,58,0,7,0,0,0,0,0,1,0,0,8,0,0,0,0,2,5,71,2022
Andhra Pradesh,1406,40,30,34,51,133,12,1706,0,90,7,24,25,1,3,15,2,6,173,7,48,2,50,225,116,2052,2023
Arunachal Pradesh,50,16,0,0,5,71,11,153,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,82,2,160,2023
Assam,1811,105,17,82,56,471,19,2561,0,72,2,17,3,1,2,3,8,5,113,0,7,0,7,514,205,2886,2023
Bihar,2755,179,369,568,230,615,46,4762,6,87,9,68,89,35,1,0,4,12,305,1,25,5,30,1060,45,5149,2023
Chhattisgarh,3809,95,66,150,211,1110,61,5502,0,17,1,94,35,0,1,1,3,14,166,7,2,3,5,1242,138,5818,2023
Goa,40,2,0,3,3,10,6,64,0,8,0,4,0,0,0,0,0,0,12,0,0,0,0,16,0,76,2023
Gujarat,2782,113,5,143,67,918,22,4050,0,13,1,16,57,11,5,16,0,12,131,13,24,0,24,969,333,4551,2023
Haryana,1887,142,178,345,264,970,52,3838,8,302,12,364,278,65,5,31,12,28,1097,54,29,0,29,1229,477,5503,2023
Himachal Pradesh,282,4,4,9,7,211,3,520,1,8,1,0,1,0,1,2,0,11,24,0,9,0,9,227,44,598,2023
Jharkhand,2878,51,286,338,180,687,8,4428,1,110,18,20,48,11,18,20,0,12,257,4,61,0,61,1042,78,4829,2023
Karnataka,1666,98,35,119,85,343,26,2372,48,85,2,48,79,13,3,3,1,37,271,17,76,2,78,482,177,2963,2023
Kerala,1523,80,23,156,18,686,17,2503,0,176,0,66,21,3,4,10,0,10,290,9,2,0,2,728,114,2918,2023
Madhya Pradesh,11588,257,372,1023,523,4185,179,18127,23,219,5,354,259,109,77,99,23,103,1248,51,107,0,107,4843,744,20300,2023
Maharashtra,4210,201,67,361,217,789,108,5953,24,387,29,270,289,79,13,48,23,33,1171,25,45,46,91,1055,217,7481,2023
Manipur,39,1,0,0,1,14,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,55,2023
Meghalaya,72,10,0,4,6,69,5,166,0,6,0,1,0,0,0,0,2,0,9,0,1,0,1,75,30,206,2023
Mizoram,71,6,0,5,0,60,1,143,0,150,1,7,1,1,3,5,1,11,180,0,0,0,0,61,12,335,2023
Nagaland,25,1,0,2,0,46,3,77,0,48,4,0,0,0,0,0,0,4,56,0,0,0,0,49,4,137,2023
Odisha,1870,71,36,99,25,841,6,2948,4,37,0,29,27,1,4,7,3,12,120,1,21,0,21,904,44,3138,2023
Punjab,1539,258,103,359,192,680,45,3176,1,340,39,91,86,66,37,69,0,128,856,18,29,0,29,857,191,4271,2023
Rajasthan,1895,86,48,485,133,1035,3,3685,0,199,5,229,106,28,0,66,3,23,659,18,16,2,18,1104,254,4634,2023
Sikkim,30,7,0,0,0,6,1,44,0,7,0,0,0,0,0,1,0,0,8,0,0,0,0,7,93,145,2023
